Module	Entry Function	Relevant Properties
arch-x86-kernel-msr-ko_main0.c	main	3
crypto-af_alg-ko_main0.c	main	2
drivers-acpi-acpi_ipmi-ko_main0.c	main	2
drivers-ata-libata-ko_main0.c	main	2
drivers-ata-sata_nv-ko_main0.c	main	2
drivers-ata-sata_vsc-ko_main0.c	main	2
drivers-atm-iphase-ko_main0.c	main	2
drivers-bcma-bcma-ko_main0.c	main	2
drivers-block-floppy-ko_main0.c	main	2
drivers-block-mtip32xx-mtip32xx-ko_main0.c	main	4
drivers-block-nbd-ko_main0.c	main	2
drivers-block-nvme-ko_main0.c	main	3
drivers-block-paride-pg-ko_main0.c	main	2
drivers-bluetooth-bluecard_cs-ko_main0.c	main	2
drivers-bluetooth-dtl1_cs-ko_main0.c	main	2
drivers-char-mwave-mwave-ko_main0.c	main	2
drivers-char-pcmcia-cm4040_cs-ko_main0.c	main	2
drivers-char-tlclk-ko_main0.c	main	4
drivers-char-xillybus-xillybus_core-ko_main0.c	main	4
drivers-firewire-firewire-core-ko_main0.c	main	3
drivers-gpio-gpio-ml-ioh-ko_main0.c	main	2
drivers-hid-hid-picolcd-ko_main0.c	main	2
drivers-i2c-busses-i2c-xiic-ko_main0.c	main	2
drivers-ide-ide-cd_mod-ko_main0.c	main	2
drivers-ide-ide-gd_mod-ko_main0.c	main	2
drivers-iio-adc-xilinx-xadc-ko_main0.c	main	4
drivers-iio-light-apds9300-ko_main0.c	main	2
drivers-iio-light-gp2ap020a00f-ko_main0.c	main	2
drivers-iio-light-tcs3414-ko_main0.c	main	3
drivers-iio-proximity-sx9500-ko_main0.c	main	3
drivers-iio-trigger-iio-trig-interrupt-ko_main0.c	main	2
drivers-infiniband-core-rdma_cm-ko_main0.c	main	2
drivers-infiniband-hw-ocrdma-ocrdma-ko_main0.c	main	4
drivers-input-gameport-gameport-ko_main0.c	main	3
drivers-input-misc-uinput-ko_main0.c	main	2
drivers-input-mousedev-ko_main0.c	main	3
drivers-input-mouse-synaptics_usb-ko_main0.c	main	3
drivers-input-serio-serio-ko_main0.c	main	3
drivers-input-serio-sun4i-ps2-ko_main0.c	main	2
drivers-input-touchscreen-ad7879-ko_main0.c	main	2
drivers-input-touchscreen-elo-ko_main0.c	main	2
drivers-input-touchscreen-mms114-ko_main0.c	main	2
drivers-ipack-carriers-tpci200-ko_main0.c	main	4
drivers-isdn-gigaset-bas_gigaset-ko_main0.c	main	4
drivers-isdn-hardware-mISDN-w6692-ko_main0.c	main	3
drivers-md-dm-crypt-ko_main0.c	main	2
drivers-media-common-saa7146-saa7146-ko_main0.c	main	2
drivers-media-pci-bt8xx-bttv-ko_main0.c	main	3
drivers-media-pci-bt8xx-dst_ca-ko_main0.c	main	2
drivers-media-pci-smipcie-smipcie-ko_main0.c	main	2
drivers-media-platform-mx2_emmaprp-ko_main0.c	main	3
drivers-media-platform-s3c-camif-s3c-camif-ko_main0.c	main	2
drivers-media-platform-s5p-g2d-s5p-g2d-ko_main0.c	main	3
drivers-media-platform-s5p-tv-s5p-mixer-ko_main0.c	main	2
drivers-media-rc-ati_remote-ko_main0.c	main	3
drivers-media-rc-streamzap-ko_main0.c	main	2
drivers-media-rc-sunxi-cir-ko_main0.c	main	2
drivers-media-usb-b2c2-b2c2-flexcop-usb-ko_main0.c	main	2
drivers-media-usb-dvb-usb-dvb-usb-cxusb-ko_main0.c	main	2
drivers-media-usb-em28xx-em28xx-v4l-ko_main0.c	main	2
drivers-media-usb-msi2500-msi2500-ko_main0.c	main	4
drivers-media-usb-pwc-pwc-ko_main0.c	main	4
drivers-media-usb-stk1160-stk1160-ko_main0.c	main	4
drivers-media-usb-stkwebcam-stkwebcam-ko_main0.c	main	3
drivers-media-usb-usbtv-usbtv-ko_main0.c	main	4
drivers-memstick-core-mspro_block-ko_main0.c	main	2
drivers-message-fusion-mptsas-ko_main0.c	main	2
drivers-mfd-dln2-ko_main0.c	main	3
drivers-mfd-rtsx_usb-ko_main0.c	main	2
drivers-mfd-tps65010-ko_main0.c	main	2
drivers-misc-bh1770glc-ko_main0.c	main	2
drivers-misc-genwqe-genwqe_card-ko_main0.c	main	2
drivers-misc-hpilo-ko_main0.c	main	3
drivers-misc-phantom-ko_main0.c	main	4
drivers-misc-tifm_core-ko_main0.c	main	2
drivers-mmc-host-sdhci-ko_main0.c	main	2
drivers-mmc-host-toshsd-ko_main0.c	main	2
drivers-net-appletalk-ipddp-ko_main0.c	main	2
drivers-net-can-sja1000-sja1000-ko_main0.c	main	2
drivers-net-can-softing-softing-ko_main0.c	main	3
drivers-net-can-usb-ems_usb-ko_main0.c	main	2
drivers-net-can-usb-kvaser_usb-ko_main0.c	main	2
drivers-net-can-usb-usb_8dev-ko_main0.c	main	3
drivers-net-ethernet-3com-3c589_cs-ko_main0.c	main	3
drivers-net-ethernet-3com-3c59x-ko_main0.c	main	3
drivers-net-ethernet-amd-amd8111e-ko_main0.c	main	3
drivers-net-ethernet-amd-nmclan_cs-ko_main0.c	main	3
drivers-net-ethernet-atheros-atl1c-atl1c-ko_main0.c	main	3
drivers-net-ethernet-chelsio-cxgb4vf-cxgb4vf-ko_main0.c	main	2
drivers-net-ethernet-dec-tulip-de2104x-ko_main0.c	main	3
drivers-net-ethernet-dnet-ko_main0.c	main	3
drivers-net-ethernet-ec_bhf-ko_main0.c	main	2
drivers-net-ethernet-fujitsu-fmvj18x_cs-ko_main0.c	main	2
drivers-net-ethernet-intel-e1000-e1000-ko_main0.c	main	3
drivers-net-ethernet-intel-e100-ko_main0.c	main	3
drivers-net-ethernet-intel-igb-igb-ko_main0.c	main	4
drivers-net-ethernet-intel-ixgbevf-ixgbevf-ko_main0.c	main	3
drivers-net-ethernet-intel-ixgb-ixgb-ko_main0.c	main	3
drivers-net-ethernet-mellanox-mlx5-core-mlx5_core-ko_main0.c	main	2
drivers-net-ethernet-micrel-ks8851_mll-ko_main0.c	main	4
drivers-net-ethernet-neterion-s2io-ko_main0.c	main	3
drivers-net-ethernet-realtek-8139cp-ko_main0.c	main	3
drivers-net-ethernet-realtek-8139too-ko_main0.c	main	3
drivers-net-ethernet-realtek-r8169-ko_main0.c	main	2
drivers-net-ethernet-silan-sc92031-ko_main0.c	main	3
drivers-net-ethernet-sis-sis900-ko_main0.c	main	3
drivers-net-ethernet-smsc-epic100-ko_main0.c	main	3
drivers-net-ethernet-sun-cassini-ko_main0.c	main	4
drivers-net-ethernet-tehuti-tehuti-ko_main0.c	main	3
drivers-net-ethernet-via-via-velocity-ko_main0.c	main	5
drivers-net-ethernet-xircom-xirc2ps_cs-ko_main0.c	main	2
drivers-net-fddi-defxx-ko_main0.c	main	3
drivers-net-hyperv-hv_netvsc-ko_main0.c	main	2
drivers-net-irda-ali-ircc-ko_main0.c	main	4
drivers-net-irda-sir-dev-ko_main0.c	main	3
drivers-net-netconsole-ko_main0.c	main	2
drivers-net-ppp-ppp_synctty-ko_main0.c	main	2
drivers-net-usb-cdc-phonet-ko_main0.c	main	3
drivers-net-usb-hso-ko_main0.c	main	4
drivers-net-usb-smsc95xx-ko_main0.c	main	2
drivers-net-usb-usbnet-ko_main0.c	main	4
drivers-net-wan-hdlc-ko_main0.c	main	2
drivers-net-wan-sbni-ko_main0.c	main	2
drivers-net-wan-x25_asy-ko_main0.c	main	2
drivers-net-wireless-adm8211-ko_main0.c	main	2
drivers-net-wireless-ath-ath10k-ath10k_pci-ko_main0.c	main	2
drivers-net-wireless-ath-ath6kl-ath6kl_usb-ko_main0.c	main	3
drivers-net-wireless-ath-carl9170-carl9170-ko_main0.c	main	5
drivers-net-wireless-b43legacy-b43legacy-ko_main0.c	main	3
drivers-net-wireless-hostap-hostap_cs-ko_main0.c	main	2
drivers-net-wireless-iwlegacy-iwl3945-ko_main0.c	main	2
drivers-net-wireless-libertas-libertas-ko_main0.c	main	2
drivers-net-wireless-libertas_tf-libertas_tf_usb-ko_main0.c	main	2
drivers-net-wireless-mwl8k-ko_main0.c	main	4
drivers-net-wireless-orinoco-orinoco-ko_main0.c	main	3
drivers-net-wireless-orinoco-orinoco_usb-ko_main0.c	main	3
drivers-net-wireless-p54-p54usb-ko_main0.c	main	3
drivers-net-wireless-ray_cs-ko_main0.c	main	2
drivers-nfc-pn533-ko_main0.c	main	3
drivers-nfc-st21nfca-st21nfca_i2c-ko_main0.c	main	2
drivers-pcmcia-pd6729-ko_main0.c	main	2
drivers-rapidio-devices-tsi721_mport-ko_main0.c	main	2
drivers-rtc-rtc-isl12057-ko_main0.c	main	2
drivers-rtc-rtc-m48t59-ko_main0.c	main	2
drivers-rtc-rtc-stk17ta8-ko_main0.c	main	2
drivers-scsi-advansys-ko_main0.c	main	2
drivers-scsi-ch-ko_main0.c	main	3
drivers-scsi-cxgbi-cxgb4i-cxgb4i-ko_main0.c	main	2
drivers-scsi-esp_scsi-ko_main0.c	main	2
drivers-scsi-gdth-ko_main0.c	main	4
drivers-scsi-hv_storvsc-ko_main0.c	main	2
drivers-scsi-initio-ko_main0.c	main	2
drivers-scsi-ips-ko_main0.c	main	2
drivers-scsi-iscsi_tcp-ko_main0.c	main	2
drivers-scsi-mvumi-ko_main0.c	main	4
drivers-scsi-qla1280-ko_main0.c	main	3
drivers-scsi-st-ko_main0.c	main	4
drivers-scsi-wd719x-ko_main0.c	main	2
drivers-spi-spi-tegra20-slink-ko_main0.c	main	2
drivers-staging-comedi-drivers-addi_apci_1500-ko_main0.c	main	2
drivers-staging-comedi-drivers-amplc_pci224-ko_main0.c	main	2
drivers-staging-comedi-drivers-cb_pcidas-ko_main0.c	main	2
drivers-staging-comedi-drivers-das16m1-ko_main0.c	main	2
drivers-staging-comedi-drivers-pcmuio-ko_main0.c	main	2
drivers-staging-comedi-drivers-s626-ko_main0.c	main	2
drivers-staging-dgap-dgap-ko_main0.c	main	3
drivers-staging-iio-accel-lis3l02dq-ko_main0.c	main	2
drivers-staging-iio-light-tsl2x7x_core-ko_main0.c	main	2
drivers-staging-iio-magnetometer-hmc5843_core-ko_main0.c	main	2
drivers-staging-iio-meter-ade7758-ko_main0.c	main	2
drivers-staging-iio-trigger-iio-trig-periodic-rtc-ko_main0.c	main	2
drivers-staging-lustre-lustre-lmv-lmv-ko_main0.c	main	2
drivers-staging-lustre-lustre-mgc-mgc-ko_main0.c	main	2
drivers-staging-media-lirc-lirc_imon-ko_main0.c	main	3
drivers-staging-media-lirc-lirc_sasem-ko_main0.c	main	3
drivers-staging-media-lirc-lirc_sir-ko_main0.c	main	2
drivers-staging-vt6656-vt6656_stage-ko_main0.c	main	4
drivers-thermal-thermal_sys-ko_main0.c	main	2
drivers-tty-goldfish-ko_main0.c	main	3
drivers-tty-nozomi-ko_main0.c	main	2
drivers-tty-serial-8250-8250-ko_main0.c	main	2
drivers-tty-serial-altera_uart-ko_main0.c	main	2
drivers-tty-serial-max310x-ko_main0.c	main	2
drivers-tty-serial-sccnxp-ko_main0.c	main	2
drivers-tty-serial-timbuart-ko_main0.c	main	2
drivers-usb-core-usbcore-ko_main0.c	main	8
drivers-usb-gadget-function-u_serial-ko_main0.c	main	2
drivers-usb-gadget-legacy-gadgetfs-ko_main0.c	main	3
drivers-usb-gadget-udc-goku_udc-ko_main0.c	main	2
drivers-usb-gadget-udc-net2280-ko_main0.c	main	2
drivers-usb-host-fotg210-hcd-ko_main0.c	main	3
drivers-usb-host-hwa-hc-ko_main0.c	main	2
drivers-usb-misc-appledisplay-ko_main0.c	main	4
drivers-usb-misc-iowarrior-ko_main0.c	main	3
drivers-usb-misc-usbtest-ko_main0.c	main	5
drivers-usb-misc-uss720-ko_main0.c	main	5
drivers-usb-phy-phy-tahvo-ko_main0.c	main	2
drivers-video-fbdev-via-viafb-ko_main0.c	main	2
drivers-w1-masters-ds1wm-ko_main0.c	main	2
drivers-watchdog-dw_wdt-ko_main0.c	main	2
drivers-watchdog-f71808e_wdt-ko_main0.c	main	2
drivers-watchdog-pc87413_wdt-ko_main0.c	main	2
drivers-watchdog-w83977f_wdt-ko_main0.c	main	2
drivers-xen-xen-acpi-processor-ko_main0.c	main	2
fs-coda-coda-ko_main0.c	main	3
fs-f2fs-f2fs-ko_main0.c	main	4
fs-fat-vfat-ko_main0.c	main	2
fs-hfsplus-hfsplus-ko_main0.c	main	2
fs-nilfs2-nilfs2-ko_main0.c	main	3
kernel-locking-locktorture-ko_main0.c	main	3
net-atm-br2684-ko_main0.c	main	4
net-atm-lec-ko_main0.c	main	3
net-bridge-bridge-ko_main0.c	main	3
net-can-can-ko_main0.c	main	4
net-dccp-dccp_ipv6-ko_main0.c	main	2
net-decnet-decnet-ko_main0.c	main	3
net-ieee802154-ieee802154_socket-ko_main0.c	main	3
net-ipv4-netfilter-ip_tables-ko_main0.c	main	2
net-ipv6-sit-ko_main0.c	main	3
net-l2tp-l2tp_eth-ko_main0.c	main	4
net-l2tp-l2tp_ip6-ko_main0.c	main	2
net-netfilter-ipset-ip_set-ko_main0.c	main	4
net-netfilter-nf_conntrack_netlink-ko_main0.c	main	2
net-netfilter-nfnetlink-ko_main0.c	main	2
net-netfilter-nfnetlink_log-ko_main0.c	main	2
net-netfilter-nfnetlink_queue-ko_main0.c	main	3
net-nfc-nci-nci-ko_main0.c	main	2
net-sunrpc-sunrpc-ko_main0.c	main	5
sound-core-seq-oss-snd-seq-oss-ko_main0.c	main	3
sound-core-seq-snd-seq-ko_main0.c	main	4
sound-core-snd-ko_main0.c	main	5
sound-core-snd-timer-ko_main0.c	main	3
sound-drivers-snd-aloop-ko_main0.c	main	2
sound-oss-pas2-ko_main0.c	main	2
sound-oss-uart401-ko_main0.c	main	2
sound-oss-uart6850-ko_main0.c	main	2
sound-pci-hda-snd-hda-intel-ko_main0.c	main	3
sound-pci-ice1712-snd-ice1712-ko_main0.c	main	3
sound-pci-lola-snd-lola-ko_main0.c	main	2
sound-pci-snd-als300-ko_main0.c	main	2
sound-pci-snd-als4000-ko_main0.c	main	2
sound-pci-snd-atiixp-ko_main0.c	main	3
sound-pci-snd-atiixp-modem-ko_main0.c	main	3
sound-pci-snd-intel8x0m-ko_main0.c	main	2
sound-pci-snd-rme32-ko_main0.c	main	2
sound-pci-snd-via82xx-ko_main0.c	main	2
sound-soc-codecs-snd-soc-arizona-ko_main0.c	main	2
sound-soc-codecs-snd-soc-wm0010-ko_main0.c	main	3
sound-soc-intel-sst-snd-intel-sst-core-ko_main0.c	main	3
sound-usb-snd-usbmidi-lib-ko_main0.c	main	2
